0,1
은,JX
마찰음,NNG
의,JKG
대부분,NNG
은,JX
‘,SS
쓰__010000,NNG
’,SS
‘,SS
쓰__010000,NNG
’,SS
이것,NP
이,JKS
전형적,NNG
이,VCP
ㄴ,ETM
s,SL
‘,SS
쓰__010000,NNG
’,SS
가,JKS
마찰음,NNG
이,VCP
ㄴ데,EC
이__05,MM
‘,SS
즈__03,NP
’,SS
는,JX
마찰__000001,NNG
과,JC
동시__020001,NNG
에,JKB
마찰__000001,NNG
을,JKO
하__010101,VV
면서,EC
동시__020001,NNG
에,JKB
파열하,VV
는,ETM
그리하,VV
여서,EC
파찰음,NNG
이,VCP
라고,EC
하__010701,VV
ㅂ니다,EF
.,SF
좀__02,MAG
어렵__000101,VA
죠,EF
.,SF
발음하__010000,VV
는,ETM
방법__000001,NNG
이,JKS
마찰__000001,NNG
도,JX
하__010101,VV
고,EC
파열,NNG
도,JX
하__010101,VV
는,ETM
동시__020001,NNG
이,VCP
다,EC
그래서,MAJ
파찰음,NNG
이,VCP
라고,EC
하__010701,VV
ㅂ니다,EF
.,SF
너무__01,MAG
어렵__000106,VA
습니다,EF
.,SF
파열하,VV
고,EC
터트리,VV
고,EC
마찰하__000001,VV
고,EC
그리하,VV
여서,EC
여러분,NP
발음__010000,NNG
하__010101,VV
는,ETM
거__01,NNB
‘,SS
즈__03,NP
’,SS
이,VCP
ㅂ니다,EC
‘,SS
즈__03,NP
’,SS
.,SF
자__140001,NNG
원어민,NNG
발음__010000,NNG
을,JKO
듣__010201,VV
어,EC
보__01,VX
도록,EC
하__01,VX
겠,EP
습니다,EF
.,SF
자__04,IC
주은,NNP
선생님__000001,NNG
설명,NNG
을,JKO
잘__02,MAG
기억하__020000,VV
면서,EC
한번__000101,NNG
발음하__010000,VV
여,EC
주__01,VX
시,EP
ㅂ시요,EF
.,SF
잘하__000102,VV
였,EP
어요,EF
.,SF
긴장하,VV
지,EC
말__03,VX
시,EP
고,EC
요,JX
.,SF
자__04,IC
우리__03,NP
창익,NNP
선생님__000001,NNG
.,SF
예__04,MM
잘__02,MAG
하__010101,VV
시,EP
었,EP
습니다,EF
.,SF
그래서,MAJ
이거__01,NP
는,JX
마찰__000001,NNG
도,JX
하__010101,VV
면서,EC
파열,NNG
도,JX
하__010101,VV
는,ETM
소리__010001,NNG
이,VCP
다,EC
그렇__000001,VA
게,EC
생각__010006,NNG
을,JKO
하__010101,VV
시,EP
면,EC
되__010401,VV
겠,EP
습니다,EF
.,SF
자__04,IC
순서__000001,NNG
는,JX
이렇,VA
게,EC
쓰__010101,VV
고,EC
이렇,VA
게,EC
쓰__010102,VV
는,ETM
것__01,NNB
이,VCP
죠,EF
.,SF
이렇,VA
게,EC
이렇,VA
게,EC
예__150003,NNG
별로__01,MAG
어렵__000101,VA
ㄹ,ETM
게,EC
없__010106,VA
습니다,EF
.,SF
다음__010004,NNG
은,JX
기역__010000,NNG
‘,SS
그__01,MM
’,SS
이,VCP
ㅂ니다,EC
‘,SS
그__01,MM
’,SS
그렇__000001,VA
게,EC
어렵__000101,VA
ㄴ,ETM
발음__010000,NNG
은,JX
아니,VCN
죠,EC
‘,SS
그__01,MM
’,SS
‘,SS
그__01,MM
’,SS
설명,NNG
드리__010001,VV
도록,EC
하__01,VX
겠,EP
습니다,EF
.,SF
자__04,IC
발음__010000,NNG
기호__010000,NNG
상__26,XSN
으로,JKB
는,JX
k,SL
라고,JKQ
쓰__010102,VV
는데,EC
역시__01,MAG
이것,NP
도,JX
별로__01,MAG
아까,MAG
이야기하__000101,VV
였,EP
듯이,EC
‘,SS
브,NNG
’,SS
이야기하__000101,VV
였,EP
을,ETM
때__010001,NNG
처럼,JKB
마음__010002,NNG
에,JKB
들__010505,VV
는,ETM
그러하__000001,VA
ㄴ,ETM
발음__010000,NNG
기호__010000,NNG
는,JX
아니,VCN
죠,EF
.,SF
자__04,IC
k,SL
를,JKO
쓰__030101,VV
면,EC
발음__010000,NNG
어떻,VA
게,EC
하__010900,VV
ㅂ니까,EF
?,SF
‘,SS
크,NNG
’,SS
이렇,VA
게,EC
자꾸__01,MAG
발음__010000,NNG
을,JKO
하__010101,VV
는,ETM
경향__020001,NNG
이,JKS
있__010302,VA
기,ETN
때문,NNB
에,JKB
근데__01,MAJ
사실__040001,NNG
은,JX
지금__030000,NNG
은,JX
그렇__000001,VA
게,EC
나타내__000102,VV
ㄹ,ETM
수__02,NNB
밖에,JX
없__010106,VA
는,ETM
것__01,NNB
이,VCP
죠,EF
.,SF
그래서,MAJ
k,SL
라고,JKQ
쓰__010101,VV
지만,EC
영어__02,NNP
의,JKG
k,SL
와,JKB
는,JX
굉장히,MAG
다른,MM
발음__010000,NNG
이,VCP
다,EF
.,SF
우리__03,NP
가,JKS
지금__03,MAG
무엇,NP
에,JKB
대하__020003,VV
여서,EC
이야기하__000101,VV
고,EC
있__01,VX
습니까,EF
?,SF
평음,NNG
에,JKB
대하__020003,VV
여서,EC
이야기하__000101,VV
고,EC
있__01,VX
습니다,EF
.,SF
우리__03,NP
가,JKS
나중__010001,NNG
에,JKB
배우__010001,VV
면,EC
평음,NNG
",",SP
격음,NNG
",",SP
경음__010000,NNG
의,JKG
구별__020000,NNG
에,JKB
대하__020003,VV
여서,EC
이야기하__000101,VV
ㄹ,ETM
것__01,NNB
이,VCP
ㄴ데,EC
이__05,MM
구별__020000,NNG
은,JX
정말__01,MAG
독특하__000001,VA
ㄴ,ETM
한국어,NNP
이,VCP
라는,ETM
언어__010000,NNG
에,JKB
만,JX
존재하__000001,VV
는,ETM
아주__01,MAG
특별하,VA
ㄴ,ETM
구분__060000,NNG
이기__090001,NNG
때문,NNB
에,JKB
외국인__000001,NNG
학습자,NNG
들__09,XSN
이,JKS
굉장히,MAG
어려워하__000001,VV
는데,EC
어쨌든,MAG
그__01,MM
설명,NNG
은,JX
우리__03,NP
가,JKS
가__010101,VV
자,EC
한국어,NNP
수업__040001,NNG
을,JKO
계속__04,MAG
하__010101,VV
면,EC
계속__04,MAG
뜨__010100,VV
ㄹ,ETM
터__02,NNB
이,VCP
니까,EC
여기__01,NP
서,JKB
자세하__010001,VA
ㄴ,ETM
설명,NNG
은,JX
하__010101,VV
지,EC
않,VX
도록,EC
하__01,VX
겠,EP
습니다,EF
.,SF
그래서,MAJ
이거__01,NP
는,JX
‘,SS
그__01,MM
’,SS
는,JX
요,JX
역시__01,MAG
위치__010001,NNG
를,JKO
보__010101,VV
면,EC
혀__010001,NNG
가,JKS
아까,MAG
이야기하__000101,VV
였,EP
죠,EC
딱딱하__010001,VA
ㄴ,ETM
입천장,NNG
말__030001,VV
고,EC
더__01,MAG
안__010001,NNG
으로,JKB
들어가__010101,VV
면,EC
말랑말랑하__000001,VA
ㄴ,ETM
부분__010000,NNG
이,JKS
나오__000101,VV
ㅂ니다,EC
그것,NP
이,JKS
부드럽__000002,VA
ㄴ,ETM
입천장,NNG
이,JKS
나오__000101,VV
ㅂ니다,EF
.,SF
우리__03,NP
가,JKS
감기__040000,NNG
걸리__010107,VV
었,EP
을,ETM
때__010001,NNG
그곳,NP
이,JKS
간질간질,MAG
하__010101,VV
고,EC
그런__01,MM
부분__010000,NNG
이,VCP
ㄴ데,EC
그__01,MM
부분__010000,NNG
을,JKO
부드럽__000002,VA
ㄴ,ETM
입천장,NNG
이,VCP
라고,EC
그리하,VV
여서,EC
연구개,NNG
이,VCP
라고,EC
하__010701,VV
ㅂ니다,EF
.,SF
그래서,MAJ
연구개,NNG
쪽__05,NNB
에,JKB
혀__010001,NNG
가,JKS
가__010101,VV
면서,EC
지금__03,MAG
어떻,VA
게,EC
되__010401,VV
ㅂ니까,EF
?,SF
처음,NNG
부터,JX
하__010101,VV
여서요,EC
점점__01,MAG
더__01,MAG
혀__010001,NNG
가,JKS
자꾸__01,MAG
뒤__010002,NNG
로,JKB
이동__030001,NNG
을,JKO
하__010101,VV
고,EC
있__01,VX
어요,EF
.,SF
그렇__000001,VA
지요,EC
‘,SS
브,NNG
’,SS
부터,JX
그렇__000001,VA
게,EC
생각__010006,NNG
을,JKO
하__010101,VV
시,EP
면,EC
되__010401,VV
ㅂ니다,EF
.,SF
그렇__000001,VA
게,EC
우리__03,NP
가,JKS
지금__03,MAG
배열__020001,NNG
을,JKO
하__010101,VV
ㄴ,ETM
것__01,NNB
이,VCP
ㅂ니다,EF
.,SF
혀__010001,NNG
가,JKS
점점__01,MAG
뒤__010002,NNG
로,JKB
이동하__000001,VV
는,ETM
것__01,NNB
이,VCP
ㅂ니다,EF
.,SF
그래서,MAJ
연구__030000,NNG
개__10,NNB
의,JKG
혀__010001,NNG
가,JKS
다가가,VV
는,ETM
소리__010001,NNG
이,VCP
다,EC
이,VCP
라고,EC
그래서,MAJ
이거__01,NP
는,JX
연구개음,NNG
이,VCP
라고,EC
도,JX
하__010101,VV
고,EC
방법__000001,NNG
은,JX
소리__010001,NNG
를,JKO
터트리,VV
는,ETM
소리__010001,NNG
이,VCP
기,ETN
때문,NNB
에,JKB
이것,NP
을,JKO
우리__03,NP
가,JKS
파열음,NNG
이,VCP
라고,EC
하__010101,VV
는,ETM
것__01,NNB
이,VCP
ㅂ니다,EF
.,SF
알__000101,VV
시,EP
겠,EP
죠,EF
?,SF
연구개,NNG
의,JKG
혀__010001,NNG
가,JKS
갈__020104,VV
는,ETM
소리__010001,NNG
이,VCP
고,EC
혀__010001,NNG
뒷부분__000002,NNG
이,JKS
이렇,VA
게,EC
가__010101,VV
는,ETM
소리__010001,NNG
이,VCP
고,EC
그__01,MM
다음__010004,NNG
에,JKB
파열하,VV
는,ETM
소리__010001,NNG
이,VCP
다,EF
.,SF
저__03,NP
의,JKG
손__010001,NNG
모양__020001,NNG
을,JKO
보__010101,VV
시,EP
ㅂ시요,EF
.,SF
이것,NP
이,JKS
기역__010000,NNG
자__140001,NNG
비슷하__020100,VA
죠,EF
?,SF
세종__02,NNP
대왕__000002,NNG
이,JKS
이__05,MM
소리__010001,NNG
를,JKO
처음,NNG
만들__000101,VV
ㄹ,ETM
때__010001,NNG
혀__010001,NNG
의,JKG
모양__020001,NNG
을,JKO
많이,MAG
고려하__010000,VV
였,EP
다고,EC
하__010701,VV
여요,EF
.,SF
그래서,MAJ
이것,NP
이,JKS
참__01,MAG
한국어,NNG
란,JX
언어__010000,NNG
가,JKS
재미있,VA
는,ETM
언어__010000,NNG
가,JKS
기역__010000,NNG
이,VCP
라는,ETM
자음__010000,NNG
의,JKG
철자__030000,NNG
는,JX
혀__010001,NNG
모양__020001,NNG
을,JKO
모방하,VV
여서,EC
만들__000101,VV
었,EP
다는,ETM
설__080000,NNG
이,JKS
정설__010000,NNG
이,VCP
ㅂ니다,EF
.,SF
대단하__000004,VA
ㄴ,ETM
것__01,NNB
이,VCP
죠,EC
그렇__000001,VA
지요,EC
문자__020001,NNG
자체__020001,NNG
에,JKB
우리__03,NP
의,JKG
조음기관,NNG
발음하__010000,VV
는,ETM
기관__110002,NNG
의,JKG
형체,NNG
가,JKS
녹__010101,VV
아,EC
들어가__010101,VV
아,EC
있__01,VX
다,EC
그렇__000001,VA
게,EC
이야기하__000101,VV
ㄹ,ETM
수__02,NNB
가,JKS
있__010305,VA
는,ETM
것__01,NNB
이,VCP
ㅂ니다,EF
.,SF
어렵__000101,VA
ㄴ,ETM
발음__010000,NNG
은,JX
아니,VCN
ㅂ니다,EF
.,SF
자__04,IC
그래서,MAJ
우리__03,NP
주은,NNP
선생님__000001,NNG
.,SF
발음하__010000,VV
여,EC
보__01,VX
ㄹ까,EC
요,JX
?,SF
창익,NNP
선생님__000001,NNG
.,SF
예__04,MM
잘__02,MAG
하__010101,VV
시,EP
었,EP
어요,EF
.,SF
이렇,VA
게,EC
발음__010000,NNG
을,JKO
하__010101,VV
면,EC
되__010401,VV
고,EC
지금__03,MAG
공부하,VV
는,ETM
모든,MM
소리__010001,NNG
는,JX
우리__03,NP
가,JKS
자세히,MAG
설명,NNG
은,JX
안__02,MAG
하__010101,VV
였,EP
지만,EC
성대__080000,NNG
의,JKG
울림__010001,NNG
떨리__010001,VV
ㅁ,ETN
이,JKS
없__010103,VA
는,ETM
무성음,NNG
이,VCP
라고,EC
하__010101,VV
ㄹ,ETM
수__02,NNB
있__010305,VA
습니다,EF
.,SF
무성음,NNG
성대__080000,NNG
이,JKS
떨리__010001,VV
ㅁ,ETN
이,JKS
없__010103,VA
다,EC
그래서,MAJ
영어__02,NNP
로,JKB
하__010101,VV
면,EC
non,SL
voiced,SL
",",SP
voiced,SL
말__010003,NNG
이,JKS
성__070002,NNG
이,VCP
라는,ETM
소리__010002,NNG
이,VCP
ㅂ니다,EC
그런__01,MM
의미__020002,NNG
이,VCP
라고,EC
하__010101,VV
ㄹ,ETM
수__02,NNB
가,JKS
있__010305,VA
겠,EP
습니다,EF
.,SF
주의하__010001,VV
십시오,EC
영어__02,NNP
에,JKB
는,JX
유성음,NNG
과,JC
무성음,NNG
이,JKS
구분__060000,NNG
이,JKS
있__010302,VA
지만,EC
한국어,NNP
에,JKB
는,JX
그렇__000001,VA
지,EC
않,VX
은,ETM
것__01,NNB
이,VCP
죠,EF
.,SF
그래서,MAJ
지금__030000,NNG
까지,JX
배우__010001,VV
ㄴ,ETM
소리__010001,NNG
는,JX
다__03,MAG
무성음,NNG
이,VCP
다,EC
non,SL
voiced,SL
의미__020001,NNG
이,VCP
다,EC
를,JKO
알__000101,VV
아,EC
두__01,VX
면,EC
되__010401,VV
겠,EP
습니다,EF
.,SF
자__04,IC
너무__01,MAG
쉽__000001,VA
네,EC
요,JX
쓰__010102,VV
는,ETM
걸__020101,VV
는,ETM
한__01,MM
번__04,NNB
에,JKB
쫙,MAG
이렇,VA
게,EC
쓰__010101,VV
면,EC
되__010401,VV
는,ETM
것__01,NNB
이,VCP
죠,EF
.,SF
기역__010000,NNG
.,SF
다음__010004,NNG
에,JKB
는,JX
이제__01,MAG
시옷,NNG
이,JKC
되__010401,VV
겠,EP
습니다,EF
.,SF
이__05,MM
발음__010000,NNG
은,JX
뭐,NP
영어__02,NNP
에,JKB
도,JX
있__010302,VA
고,EC
많이,MAG
있__010302,VA
는데,EC
‘,SS
스,NNG
’,SS
",",SP
‘,SS
스,NNG
’,SS
라고,JKQ
하__010101,VV
ㄹ,ETM
수__02,NNB
가,JKS
있__010305,VA
겠,EP
습니다,EF
.,SF
그래서,MAJ
이거__01,NP
는,JX
발음__010000,NNG
기호__010000,NNG
로,JKB
는,JX
s,SL
로,JKB
포함__020001,NNG
되__010401,VV
구,EC
여,EC
s,SL
로,JKB
포함되__010001,VV
고,EC
s,SL
로,JKB
포함되__010001,VV
면,EC
미국__03,NNP
사람__000001,NNG
들__09,XSN
은,JX
‘,SS
스,NNG
’,SS
라고,JKQ
발음__010000,NNG
을,JKO
하__010101,VV
고,EC
‘,SS
쓰__010000,NNG
’,SS
이,VCP
라고,EC
도,JX
발음__010000,NNG
하,XSV
ㅂ니다,EF
.,SF
그래서,MAJ
우리__03,NP
가,JKS
영어__02,NNP
의,JKG
s,SL
는,JX
요,JX
미국__03,NNP
사람__000001,NNG
은,JX
느끼__020002,VV
지,EC
못하,VX
면,EC
sound,SL
하__010101,VV
ㄹ,ETM
때__010001,NNG
는,JX
우리__03,NP
귀__010001,NNG
에,JKB
는,JX
쌍시옷,NNG
발음__010000,NNG
이,JKS
나__010203,VV
는,ETM
것__01,NNB
처럼,JKB
들리__030000,VV
는,ETM
것__01,NNB
이,VCP
죠,EF
.,SF
그__01,MM
대신__030001,NNG
smooth,SL
하__010101,VV
ㄹ,ETM
때__010001,NNG
는,JX
그때,NNG
는,JX
시옷,NNG
.,SF
한국어,NNP
에,JKB
는,JX
그것,NP
ㄹ,JKO
구별하,VV
죠,EF
.,SF
뒤__010002,NNG
에,JKB
가__010101,VV
아서,EC
우리__03,NP
가,JKS
자세히,MAG
공부하,VV
겠,EP
지만,EC
어쨌든,MAG
이__05,MM
‘,SS
스,NNG
’,SS
발음__010000,NNG
은,JX
이것,NP
은,JX
방법__000001,NNG
이,JKS
중요하__020000,VA
ㅂ니다,EF
.,SF
발음하__010000,VV
는,ETM
방법__000001,NNG
이거__01,NP
는,JX
발음하__010000,VV
는,ETM
방법__000001,NNG
이,JKS
마찰__000002,NNG
을,JKO
일으키__000004,VV
는,ETM
방법__000001,NNG
이,VCP
ㅂ니다,EF
.,SF
입__000001,NNG
을,JKO
이렇,VA
게,EC
저__03,NP
의,JKG
입__000001,NNG
모양__020001,NNG
을,JKO
보__010101,VV
세요,EC
‘,SS
스,NNG
’,SS
‘,SS
스,NNG
’,SS
입술__000001,NNG
을,JKO
가지__000101,VV
고,EC
공간__050001,NNG
을,JKO
아주__01,MAG
좁__010001,VA
게,EC
만들__000101,VV
어서,EC
좁__010001,VA
은,ETM
공간__050001,NNG
사이__010004,NNG
에,JKB
소리__010001,NNG
가,JKS
빠져나가,VV
게,EC
그러면,MAJ
어떻,VA
게,EC
되__010401,VV
ㅂ니까,EF
?,SF
마찰__000002,NNG
이,JKS
일어나__000202,VV
죠,EF
.,SF
마찰__000002,NNG
을,JKO
일으키__000004,VV
는,ETM
그러하__000001,VA
ㄴ,ETM
소리__010001,NNG
이,VCP
기,ETN
때문,NNB
에,JKB
마찰__000002,NNG
을,JKO
시키__010001,VV
어야,EC
되__010401,VV
ㄴ다,EF
.,SF
그리고,MAJ
위치__010001,NNG
는,JX
어디__01,NP
이,VCP
냐,EF
?,SF
위치__010001,NNG
는,JX
우리__03,NP
가,JKS
‘,SS
드,NNP
’,SS
발음하__010000,VV
였,EP
을,ETM
때__010001,NNG
와,JKB
똑같__000001,VA
은,ETM
치조__030000,NNG
",",SP
윗니,NNG
와,JC
윗니,NNG
잇몸,NNG
의,JKG
경계__040002,NNG
부분__010000,NNG
거기__01,NP
에,JKB
붙__000101,VV
어서,EC
내__020303,VV
는,ETM
소리__010001,NNG
이,VCP
ㅂ니다,EF
.,SF
자__04,IC
그럼__01,MAJ
한__01,MM
번__04,NNB
발음하__010000,VV
여,EC
보__01,VX
ㄹ까,EC
요,JX
?,SF
치조__030000,NNG
의,JKG
여러분,NP
혀__010001,NNG
를,JKO
대__010301,VV
고,EC
마찰__000002,NNG
을,JKO
시키__010001,VV
어,EC
보__01,VX
세요,EF
.,SF
‘,SS
스,NNG
’,SS
‘,SS
스,NNG
’,SS
‘,SS
스,NNG
’,SS
이__05,MM
소리__010001,NNG
가,JKC
되__010401,VV
겠,EP
습니다,EF
.,SF
정확히__01,MAG
그__01,MM
위치__010001,NNG
에,JKB
혀__010001,NNG
를,JKO
갖__010200,VV
다,EC
대__010301,VV
고,EC
그것,NP
ㄴ,JX
‘,SS
드,NNP
’,SS
와,JC
똑같__000001,VA
은,ETM
것__01,NNB
이,VCP
죠,EF
.,SF
그리고,MAJ
발음하__010000,VV
는,ETM
방법__000001,NNG
이,JKS
‘,SS
드,NNP
’,SS
는,JX
그냥,MAG
터트리,VV
었,EP
다고,EC
하__010701,VV
면,EC
이거__01,NP
는,JX
뭐,NP
이,VCP
에요,EF
?,SF
마찰__000002,NNG
을,JKO
시키__010001,VV
는,ETM
것__01,NNB
이,VCP
ㅂ니다,EF
.,SF
좁__010001,VA
은,ETM
공간__050001,NNG
을,JKO
만들__000101,VV
어서,EC
소리__010001,NNG
를,JKO
밖__000001,NNG
으로,JKB
내__020303,VV
는,ETM
것__01,NNB
이,VCP
라고,EC
하__010101,VV
ㄹ,ETM
수__02,NNB
가,JKS
있__010305,VA
겠,EP
습니다,EF
.,SF
자__04,IC
그러면,MAJ
원어민,NNG
선생님__000001,NNG
들__09,XSN
의,JKG
발음__010000,NNG
을,JKO
듣__010201,VV
어,EC
보__01,VX
도록,EC
하__01,VX
겠,EP
습니다,EF
.,SF
주은,NNP
선생님__000001,NNG
.,SF
어떻,VA
게,EC
마찰__000002,NNG
이,JKS
느끼__020004,VV
어,EC
지__04,VX
시,EP
었,EP
어요,EF
?,SF
마찰__000001,NNG
그리고,MAJ
혀__010001,NNG
의,JKG
위치__010001,NNG
는,JX
치조__030000,NNG
에,JKB
가__010101,VV
아,EC
있__01,VX
는다,EF
.,SF
자__04,IC
창익,NNP
선생님__000001,NNG
.,SF
예__080001,NNG
좋__010201,VA
습니다,EF
.,SF
마찰__000002,NNG
을,JKO
아주__01,MAG
강조하,VV
여서,EC
마찰__000001,NNG
을,JKO
하__010101,VV
였,EP
어요,EF
.,SF
마찰__000001,NNG
이,VCP
다,EC
마찰__000002,NNG
을,JKO
시키__010001,VV
는,ETM
것__01,NNB
이,VCP
다,EC
그것,NP
을,JKO
여러분,NP
들__09,XSN
이,JKS
기억하__020000,VV
시,EP
면,EC
되__010401,VV
겠,EP
습니다,EF
.,SF
자__140001,NNG
쓰__010102,VV
는,ETM
방법__000001,NNG
은,JX
너무__01,MAG
쉽__000001,VA
네,EC
요,JX
.,SF
이렇,VA
게,EC
쓰__010101,VV
면,EC
되__010401,VV
는,ETM
것__01,NNB
이,VCP
ㅂ니다,EF
.,SF
자__04,IC
그래서,MAJ
지금__030000,NNG
까지,JX
이제__01,MAG
우리__03,NP
가,JKS
배우__010001,VV
었,EP
는데,EC
무엇,NP
ㄹ,JKO
배우__010001,VV
었,EP
냐,EC
면,EC
‘,SS
브,NNG
’,SS
‘,SS
드,NNP
’,SS
그렇__000001,VA
지요,EF
?,SF
‘,SS
브,NNG
’,SS
‘,SS
드,NNP
’,SS
그__01,MM
다음__010004,NNG
에,JKB
‘,SS
즈__03,NP
’,SS
배우__010001,VV
었,EP
구,EC
여,EC
그__01,MM
다음__010004,NNG
에,JKB
‘,SS
그__01,MM
’,SS
배우__010001,VV
었,EP
구,EC
여,EC
‘,SS
스,NNG
’,SS
를,JKO
배우__010001,VV
ㄴ,ETM
것__01,NNB
이,VCP
죠,EF
.,SF
근데__01,MAJ
이제__01,MAG
만약,NNG
에,JKB
이__05,MM
앞쪽__000001,NNG
부터,JX
나__03,NP
는,JX
순서__000001,NNG
대로,JX
하__010101,VV
라,EC
그러__000001,VV
면,EC
‘,SS
브,NNG
’,SS
가,JKS
맨__01,MM
앞__000001,NNG
에,JKB
나오__000101,VV
는,ETM
것__01,NNB
이,VCP
죠,EF
.,SF
양__07,MM
입술__000001,NNG
그__01,MM
다음__010004,NNG
에,JKB
‘,SS
드,NNP
’,SS
치조__030000,NNG
이,VCP
죠,EF
.,SF
근데__01,MAJ
거기__01,NP
에,JKB
방법__000001,NNG
은,JX
다르__010001,VA
지만,EC
사실__04,MAG
‘,SS
스,NNG
’,SS
도,JX
있__010302,VA
는,ETM
것__01,NNB
이,VCP
죠,EF
.,SF
그__01,MM
다음__010004,NNG
에,JKB
치조__030000,NNG
보다,JKB
도,JX
좀__02,MAG
뒤__010002,NNG
로,JKB
가__010101,VV
는,ETM
것__01,NNB
이,VCP
그것,NP
이,JKS
뭐,NP
이,VCP
라,EC
그러__000001,VV
었,EP
어요,EF
?,SF
부드럽__000002,VA
ㄴ,ETM
입천장,NNG
연구개,NNG
에서,JKB
나__010403,VV
는,ETM
것__01,NNB
이,JKS
‘,SS
즈__03,NP
’,SS
이,VCP
죠,EC
‘,SS
즈__03,NP
’,SS
그__01,MM
다음__010004,NNG
맨__01,MM
마지막,NNG
에,JKB
놓이__000201,VV
는,ETM
것__01,NNB
이,JKS
무엇,NP
이,VCP
ㅂ니까,EF
?,SF
경구개,NNG
…,SE
아__02,IC
잘못,MAG
설명하,VV
였,EP
네,EC
요,JX
.,SF
처음,NNG
에,JKB
입술__000001,NNG
이,VCP
고,EC
그__01,MM
다음__010004,NNG
에,JKB
치조__030000,NNG
고,JKQ
치조__030000,NNG
다음__010004,NNG
에,JKB
뭐,NP
이,VCP
라구,EC
여,EF
?,SF
딱딱하__010001,VA
ㄴ,ETM
입천장,NNG
거기__01,NP
서,JKB
나__03,NP
는,JX
소리__010001,NNG
가,JKS
‘,SS
즈__03,NP
’,SS
이,VCP
었,EP
구,EC
여,EF
.,SF
그__01,MM
다음__010004,NNG
에,JKB
는,JX
이제__01,MAG
물렁,NNG
물렁하__000002,VA
ㄴ,ETM
입천장,NNG
에서,JKB
나__010403,VV
는,ETM
소리__010001,NNG
가,JKS
맨__01,MM
마지막,NNG
에,JKB
공부하,VV
ㄴ,ETM
‘,SS
그__01,MM
’,SS
가,JKC
되__010401,VV
는,ETM
것__01,NNB
이,VCP
ㅂ니다,EF
.,SF
‘,SS
스,NNG
’,SS
는,JX
이거__01,NP
는,JX
마찰음,NNG
이,VCP
지만,EC
위치__010001,NNG
상__26,XSN
으로,JKB
보__010101,VV
면,EC
어디__01,NP
이,VCP
라구,EC
여,EF
?,SF
‘,SS
드,NNP
’,SS
와,JC
위치__010001,NNG
가,JKS
같__000202,VA
은,ETM
것__01,NNB
이,VCP
죠,EF
.,SF
자__04,IC
그러니까,MAJ
‘,SS
브,NNG
’,SS
가__010101,VV
아,EC
있__01,VX
고,EC
‘,SS
드,NNP
’,SS
‘,SS
스,NNG
’,SS
가,JKS
있__010302,VA
고,EC
‘,SS
즈__03,NP
’,SS
가,JKS
있__010302,VA
고,EC
마지막,NNG
에,JKB
‘,SS
그__01,MM
’,SS
가,JKS
있__010302,VA
는,ETM
것__01,NNB
이,VCP
죠,EF
.,SF
그것,NP
이,JKS
아주__01,MAG
과학적,NNG
이,VCP
ㄴ,ETM
것__01,NNB
이,VCP
죠,EF
.,SF
그것,NP
이,JKS
바로__02,MAG
혀__010001,NNG
가,JKS
앞__000001,NNG
에서,JKB
부터,JX
조금씩,MAG
조금씩,MAG
뒤__010002,NNG
로,JKB
이동하__000001,VV
는,ETM
그__01,MM
위치__010001,NNG
를,JKO
여러분,NP
들__09,XSN
이,JKS
기억하__020000,VV
는,ETM
것__01,NNB
이,JKS
아주__01,MAG
과학적,NNG
으로,JKB
한국어,NNP
의,JKG
자음__010000,NNG
을,JKO
배우__010001,VV
는,ETM
방법__000001,NNG
이,VCP
ㅂ니다,EF
.,SF
자__04,IC
이제__010000,NNG
까지,JX
한국어,NNP
의,JKG
자음__010000,NNG
중__04,NNB
에,JKB
평음,NNG
에,JKB
대하__020003,VV
ㄴ,ETM
공부__010000,NNG
를,JKO
하__010101,VV
였,EP
습니다,EF
.,SF
수고__010000,NNG
많이,MAG
하__010101,VV
시,EP
었,EP
습니다,EF
.,SF
